City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Ngunguru,NZ,2021-03-26 22:33:19,-35.6167,174.5,69.01,79,73,15.01
67,Hilo,US,2021-03-26 22:33:53,19.7297,-155.09,82.4,61,75,13.8
68,Constitucion,CL,2021-03-26 22:33:58,-35.3333,-72.4167,59.05,72,0,13.38
69,Prokhorovka,RU,2021-03-26 22:33:59,51.0374,36.7325,35.6,80,0,4.47
70,Banda Aceh,ID,2021-03-26 22:33:59,5.5577,95.3222,78.94,82,100,11.01
71,Kruisfontein,ZA,2021-03-26 22:33:59,-34.0033,24.7314,66.0,69,15,1.99
72,Provideniya,RU,2021-03-26 22:34:00,64.3833,-173.3,5.86,87,100,14.0
73,Avarua,CK,2021-03-26 22:34:00,-21.2078,-159.775,84.2,70,75,18.41
74,Marrakesh,MA,2021-03-26 22:29:28,31.6315,-8.0083,69.8,24,20,5.75
75,Bethel,US,2021-03-26 22:33:35,41.3712,-73.414,73.4,31,1,20.71
76,Geraldton,AU,2021-03-26 22:34:00,-28.7667,114.6,59.0,88,3,8.05
77,Cape Town,ZA,2021-03-26 22:31:25,-33.9258,18.4232,64.99,94,75,8.05
78,Murfreesboro,US,2021-03-26 22:32:44,35.8456,-86.3903,73.4,33,1,4.61
79,Coquimbo,CL,2021-03-26 22:32:30,-29.9533,-71.3436,62.6,72,0,12.66
80,Barstow,US,2021-03-26 22:34:01,34.8986,-117.0228,66.2,12,1,16.11
81,Ware,GB,2021-03-26 22:34:01,51.8126,-0.0283,39.99,81,40,14.97
82,Bima,ID,2021-03-26 22:34:02,-8.4667,118.7167,78.08,92,98,3.18
83,Santa Maria,BR,2021-03-26 22:34:02,-29.6842,-53.8069,69.8,100,20,1.14
84,Oriximina,BR,2021-03-26 22:34:02,-1.7656,-55.8661,75.11,90,94,3.76
85,Finote Selam,ET,2021-03-26 22:34:03,10.7,37.2667,66.0,16,10,1.79
86,Roznava,SK,2021-03-26 22:34:03,48.6601,20.5376,37.4,80,0,3.44
87,Ushuaia,AR,2021-03-26 22:31:12,-54.8,-68.3,50.0,62,75,5.75
88,Yaan,NG,2021-03-26 22:34:04,7.3833,8.5667,87.37,40,17,2.93
89,Vestmannaeyjar,IS,2021-03-26 22:34:04,63.4427,-20.2734,21.78,63,13,12.17
90,Salvador,SV,2021-03-26 22:33:18,13.8333,-88.9167,89.6,65,20,13.8
91,Henties Bay,NA,2021-03-26 22:31:21,-22.116,14.2845,62.01,94,12,3.0
92,Pacific Grove,US,2021-03-26 22:34:05,36.6177,-121.9166,68.0,30,1,9.22
93,Shingu,JP,2021-03-26 22:34:05,33.7333,135.9833,53.65,41,67,3.98
94,Hobart,AU,2021-03-26 22:30:44,-42.8794,147.3294,57.2,82,75,6.91
95,Burnie,AU,2021-03-26 22:32:37,-41.0667,145.9167,54.0,94,100,1.99
96,Anderson,US,2021-03-26 22:34:06,34.5334,-82.6499,75.2,50,1,14.97
97,Ilulissat,GL,2021-03-26 22:34:06,69.2167,-51.1,-13.0,48,9,6.53
98,La Ronge,CA,2021-03-26 22:33:53,55.1001,-105.2842,23.0,63,100,6.91
99,Abu Samrah,SY,2021-03-26 22:34:06,35.3029,37.1841,40.59,71,19,13.31
100,Talnakh,RU,2021-03-26 22:32:13,69.4865,88.3972,15.75,94,100,10.02
101,Bluff,NZ,2021-03-26 22:31:05,-46.6,168.3333,62.01,74,100,7.0
102,Yantal,RU,2021-03-26 22:34:07,56.8471,105.2542,14.41,99,99,3.06
103,Victoria,HK,2021-03-26 22:30:09,22.2855,114.1577,73.0,88,99,3.0
104,Catalina,US,2021-03-26 22:34:08,32.5056,-110.9211,63.0,38,53,3.0
105,Sitka,US,2021-03-26 22:34:08,57.0531,-135.33,41.0,87,90,4.61
106,Dharchula,IN,2021-03-26 22:34:08,29.85,80.5333,57.29,23,0,8.01
107,Ribeira Grande,PT,2021-03-26 22:32:26,38.5167,-28.7,57.2,67,20,12.66
108,Atlantic City,US,2021-03-26 22:34:09,39.3643,-74.4229,78.8,24,6,28.77
109,Amahai,ID,2021-03-26 22:34:09,-3.3333,128.9167,80.8,78,92,2.28
110,Pisco,PE,2021-03-26 22:34:10,-13.7,-76.2167,73.4,68,0,25.32
111,New Norfolk,AU,2021-03-26 22:34:10,-42.7826,147.0587,57.0,89,100,3.8
112,Laguna,US,2021-03-26 22:31:10,38.421,-121.4238,73.4,17,1,11.5
113,Narsaq,GL,2021-03-26 22:34:12,60.9167,-46.05,8.6,47,0,1.14
114,Guanajuato,MX,2021-03-26 22:34:12,21.0186,-101.2591,84.2,6,75,4.61
115,Taltal,CL,2021-03-26 22:34:12,-25.4,-70.4833,66.36,76,23,5.14
116,Mayo,US,2021-03-26 22:32:11,38.8876,-76.5119,75.2,31,1,18.41
117,Baruun-Urt,MN,2021-03-26 22:32:10,46.6806,113.2792,39.81,28,66,16.06
118,Berlevag,NO,2021-03-26 22:34:13,70.8578,29.0864,35.6,60,0,20.71
119,Honningsvag,NO,2021-03-26 22:32:32,70.9821,25.9704,30.2,74,0,33.38
120,Port Macquarie,AU,2021-03-26 22:31:34,-31.4333,152.9167,73.0,80,85,6.82
121,Lukovskaya,RU,2021-03-26 22:34:14,43.7295,44.6335,39.2,75,83,6.71
122,Biskamzha,RU,2021-03-26 22:34:14,53.4497,89.5272,11.5,98,98,1.19
123,Suhl,DE,2021-03-26 22:34:14,50.6,10.7,39.99,79,98,5.37
124,Jiujiang,CN,2021-03-26 22:34:15,29.7333,115.9833,62.51,93,98,7.83
125,Strezhevoy,RU,2021-03-26 22:34:15,60.7333,77.5889,26.6,93,0,2.24
